ID,MSN,StateCode,Year,Amount,State,Emissions,NumInvest,AmountInvested
1,BDPRP,AK,2015,21.84,Alaska,35.0278036,16,3345612
4,CLPRB,AK,2015,17747,Alaska,35.0278036,16,3345612
9,ENPRP,AK,2015,0,Alaska,35.0278036,16,3345612
10,GETCB,AK,2015,186,Alaska,35.0278036,16,3345612
11,HYTCB,AK,2015,14621,Alaska,35.0278036,16,3345612
12,NCPRB,AK,2015,16298,Alaska,35.0278036,16,3345612
13,NGMPB,AK,2015,380887,Alaska,35.0278036,16,3345612
16,NUETB,AK,2015,0,Alaska,35.0278036,16,3345612
17,PAPRB,AK,2015,1007501,Alaska,35.0278036,16,3345612
19,REPRB,AK,2015,23807,Alaska,35.0278036,16,3345612
20,SOTCB,AK,2015,3,Alaska,35.0278036,16,3345612
21,TEPRB,AK,2015,1429942,Alaska,35.0278036,16,3345612
22,TETCB,AK,2015,614242,Alaska,35.0278036,16,3345612
23,WDEXB,AK,2015,0,Alaska,35.0278036,16,3345612
24,WDPRB,AK,2015,6865,Alaska,35.0278036,16,3345612
25,WDTCB,AK,2015,6865,Alaska,35.0278036,16,3345612
26,WSTCB,AK,2015,622,Alaska,35.0278036,16,3345612
27,WWPRB,AK,2015,7488,Alaska,35.0278036,16,3345612
28,WYTCB,AK,2015,1488,Alaska,35.0278036,16,3345612
30,BDPRP,AL,2015,1943.76,Alabama,119.2008893,164,1864412
33,CLPRB,AL,2015,331420,Alabama,119.2008893,164,1864412
38,ENPRP,AL,2015,0,Alabama,119.2008893,164,1864412
39,GETCB,AL,2015,141,Alabama,119.2008893,164,1864412
40,HYTCB,AL,2015,91902,Alabama,119.2008893,164,1864412
41,NCPRB,AL,2015,92144,Alabama,119.2008893,164,1864412
42,NGMPB,AL,2015,182481,Alabama,119.2008893,164,1864412
45,NUETB,AL,2015,438728,Alabama,119.2008893,164,1864412
46,PAPRB,AL,2015,55421,Alabama,119.2008893,164,1864412
48,REPRB,AL,2015,258955,Alabama,119.2008893,164,1864412
49,SOTCB,AL,2015,101,Alabama,119.2008893,164,1864412
50,TEPRB,AL,2015,1267004,Alabama,119.2008893,164,1864412
51,TETCB,AL,2015,1917138,Alabama,119.2008893,164,1864412
52,WDEXB,AL,2015,0,Alabama,119.2008893,164,1864412
53,WDPRB,AL,2015,163313,Alabama,119.2008893,164,1864412
54,WDTCB,AL,2015,163313,Alabama,119.2008893,164,1864412
55,WSTCB,AL,2015,1565,Alabama,119.2008893,164,1864412
56,WWPRB,AL,2015,164877,Alabama,119.2008893,164,1864412
57,WYTCB,AL,2015,0,Alabama,119.2008893,164,1864412
59,BDPRP,AR,2015,4449.9,Arkansas,59.05336455,477,13453887
62,CLPRB,AR,2015,1819,Arkansas,59.05336455,477,13453887
67,ENPRP,AR,2015,0,Arkansas,59.05336455,477,13453887
68,GETCB,AR,2015,808,Arkansas,59.05336455,477,13453887
69,HYTCB,AR,2015,33261,Arkansas,59.05336455,477,13453887
70,NCPRB,AR,2015,34194,Arkansas,59.05336455,477,13453887
71,NGMPB,AR,2015,1031466,Arkansas,59.05336455,477,13453887
74,NUETB,AR,2015,144716,Arkansas,59.05336455,477,13453887
75,PAPRB,AR,2015,35611,Arkansas,59.05336455,477,13453887
77,REPRB,AR,2015,117840,Arkansas,59.05336455,477,13453887
78,SOTCB,AR,2015,124,Arkansas,59.05336455,477,13453887
79,TEPRB,AR,2015,1331452,Arkansas,59.05336455,477,13453887
80,TETCB,AR,2015,1062359,Arkansas,59.05336455,477,13453887
81,WDEXB,AR,2015,0,Arkansas,59.05336455,477,13453887
82,WDPRB,AR,2015,75417,Arkansas,59.05336455,477,13453887
83,WDTCB,AR,2015,75417,Arkansas,59.05336455,477,13453887
84,WSTCB,AR,2015,3799,Arkansas,59.05336455,477,13453887
85,WWPRB,AR,2015,79217,Arkansas,59.05336455,477,13453887
86,WYTCB,AR,2015,0,Arkansas,59.05336455,477,13453887
88,BDPRP,AZ,2015,10.92,Arizona,94.97878443,65,1724853
